entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_apertura_de_respuesta,fecha_de_publicacion,fecha_de_publicacion_fase_2,origen_barrido,grupo,ambito,cuenta_indicador,nivel_relacion,motivo_relacion,regla_persona_natural,anterior_al_sismo,plataforma,es_ungrd,fecha_efectiva,revisada,revision_nota,revision_revisor,revision_fecha,primera_vez_visto,ultima_revision
GOBVALLE - HACIENDA,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10900765,DAHFP-CDPS-0123-2026,709374037,CO1.BDOS.10717140,PRESTACION DE SERVICIOS PROFESIONALES,Prestar Servicios Profesionales en Finanzas y Negocios Internacionales  en el Departamento Administrativo de Hacienda y Finanzas Públicas del Departamento del Valle del Cauca.,Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,19500000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),Cali,SUBDIRECCION TECNICA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80101706,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10755749,709374037,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-08-23 08:55:06
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10895526,4161.010.32.1.1567.2026,703282152,CO1.BDOS.10711841,Prestación de Servicios de Apoyo a la Gestión,Prestación de Servicios de Apoyo a la Gestión en la Secretaría de Seguridad y Justicia.,Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2792000,Contratación directa,Servicios profesionales y apoyo a la gestión,10,día(s),Cali,Secretaría de Seguridad y Justicia,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10749942,703282152,Presentación de oferta,,,,,,,departamento+nit,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-08-23 08:55:06
GOBERNACION DEL VALLE DEL CAUCA - DADI,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10863400,DADI-DPS-1450-2026,702376260,CO1.BDOS.10680365,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-15T00:00:00.000,2026-08-15T00:00:00.000,2026-08-15T00:00:00.000,3000000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10719123,702376260,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-15,False,,,,2026-08-17 14:02:18,2026-08-23 08:55:06
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DEL DEPORTE Y LA RECREACIÓN,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10900625,4162.010.32.1.1232-2026,702440603,CO1.BDOS.10716948,PRESTACION DE SERVICIOS,"Prestación de servicios de apoyo a la gestión para contribuir al desarrollo de las acciones relacionadas con la formación deportiva en el sistema educativo, con autonomía técnica y administrativa, en el marco del proyecto denominado Apoyo a la iniciación y formación deportiva en Santiago de Cali BP-26005288, en la Secretaría del Deporte y la Recreación del Distrito de Santiago de Cali.",Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,9084000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),Cali,GESTIÓN CONTRACTUAL,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10755199,702440603,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-08-23 08:55:06
SECRETARIA DE CULTURA VALLE,890399029,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10874945,1.230.19.13-9039-2026,704258193,CO1.BDOS.10691740,PS BELYINY MORENO MOSQUERA,"Prestar los servicios profesionales en la Secretaría de Cultura para la atención al proyecto denominado APOYO A LOS PROCESOS DE FOMENTO, ESTÍMULOS, PROMOCIÓN, CIRCULACIÓN Y DESARROLLO DE LA CULTURA, LAS ARTES, LA ACTIVIDAD LITERARIA Y LOS SABERES DEL VALLE DEL CAUCA.",Presentación de oferta,2026-08-18T00:00:00.000,2026-08-18T00:00:00.000,2026-08-18T00:00:00.000,7700000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,CULTURA VALLE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10730040,704258193,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-18,False,,,,2026-08-21 09:07:06,2026-08-23 08:55:06
GOBERNACION DEL VALLE DEL CAUCA - DADI,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10862937,DADI-DPS-1223-2026,702376260,CO1.BDOS.10679421,PRESTACIÓN DE SERVICIOS,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ABOGADA ESPECIALIZADA EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-15T00:00:00.000,2026-08-15T00:00:00.000,2026-08-15T00:00:00.000,6000000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10718027,702376260,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-15,False,,,,2026-08-17 14:02:18,2026-08-23 08:55:06
GOBERNACION DEL VALLE DEL CAUCA - DADI,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10860832,DADI-DPS-1240-2026,702376260,CO1.BDOS.10677522,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ABOGADA EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-14T00:00:00.000,2026-08-14T00:00:00.000,2026-08-14T00:00:00.000,6500000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10715755,702376260,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-14,False,,,,2026-08-16 13:54:16,2026-08-23 08:55:06
GOBERNACION DEL VALLE - SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA,890399029,Valle del Cauca,No Definido,Territorial,Centralizada,CO1.REQ.10900400,1.410-19.13-0826,704258359,CO1.BDOS.10717307,PRESTAR LOS SERVICIOS EN LA SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA,"PRESTAR LOS SERVICIOS EN LA SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA, PARA EL DESARROLLO DEL PROYECTO DE INVERSIÓN DENOMINADO:  FORTALECIMIENTO DE LA CAPACIDAD INSTITUCIONAL PARA LA GESTION Y EVALUACION DE PLANES DE CONVIVENCIA, SEGURIDAD Y DERECHOS HUMANOS EN EL VALLE DEL CAUCA .",Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,283000000,Contratación directa,Servicios profesionales y apoyo a la gestión,2,Mes(es),Cali,PRESTACIÓN DE SERVICIOS,0,0,0,0,0,0,0,0,1,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10755803,704258359,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-08-23 08:55:06
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE INFRAESTRUCTURA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10887926,4151.010.32.1.1283-2026,702511981,CO1.BDOS.10704367,CONTRATACION DIRECTA - PRESTACION DE SERVICIOS,Prestar los servicios profesionales especializados con el fin de brindar soporte a las actividades adelantadas en la Secretaría de Infraestructura del proyecto denominado BP-26005375  RECUPERACIÓN DE LA INFRAESTRUCTURA VIAL DE SANTIAGO DE CALI,Presentación de oferta,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,12494000,Contratación directa,Servicios profesionales y apoyo a la gestión,2,Mes(es),Cali,SECRETARIA DE INFRAESTRUCTURA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10743508,702511981,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-20,False,,,,2026-08-22 21:40:21,2026-08-23 08:55:06
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE PAZ Y CULTURA CIUDADANA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10890340,4164.010.32.1.0795-2026,702364142,CO1.BDOS.10706600,Prestación de servicios profesionales especializados a la Secretaría de Paz y Cultura Ciudadana.,"Prestación de servicios profesionales especializados a la Secretaría de Paz y Cultura Ciudadana para el desarrollo del proyecto denominado:Implementación del programa de prevención de violencias, construcción de paz y resolución pacífica de los conflictos  'Cali Pazcífica'  en el Distrito de Santiago de Cali.",Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,12494000,Contratación directa,Servicios profesionales y apoyo a la gestión,56,día(s),Cali,Secretaría de Paz y Cultura Ciudadana,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10754756,702364142,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-08-23 08:55:06
